federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
080-0131,"Space Technology, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",73624447.61,6839800.13,686500000.00,0.00,0.00,0.00,0.00,766964247.74,720199582.76,6839800.13,46764664.98,698958608.66,766964247.74
028-0401,"Special Benefits for Certain World War II Veterans, Social Security Administration",Social Security Administration,Veterans Benefits and Services,Income security for veterans,0.00,0.00,2145524.15,0.00,0.00,733069.55,733069.55,2878593.70,2878593.70,0.00,0.00,2878593.70,2878593.70
016-0169,"Special Benefits for Disabled Coal Miners, Office of Workers' Compensation Program, Labor",,Income Security,General retirement and disability insurance (excluding social se,103083220.25,178425.75,79951989.00,0.00,0.00,0.00,0.00,183213635.00,89525784.21,178425.75,93687850.79,90470053.16,183213635.00
016-1521,"Special Benefits, Office of Workers Compensation Program, Labor",,Income Security,Federal employee retirement and disability,1218240020.85,6026217.40,220000000.00,0.00,0.00,3081697677.07,3081697677.07,4525963915.32,2997510884.70,6026217.40,1528453030.62,2995372452.24,4525963915.32
020-5622,"Special Compliance Personnel Program, Internal Revenue Service, Treasury",Department of the Treasury,General Government,Central fiscal operations,0.00,0.00,1248453.70,0.00,0.00,0.00,0.00,1248453.70,0.00,0.00,1248453.70,0.00,1248453.70
011-4116,"Special Defense Acquisition Fund, Funds Appropriated to the President",,International Affairs,International financial programs,369536465.90,200862730.59,69897307.67,0.00,0.00,263363239.01,263363239.01,903659743.17,321560931.92,200761296.26,582098811.25,121676367.87,903659743.17
091-0300,"Special Education, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",15326515.64,-2865420.85,13064358000.00,0.00,0.00,0.00,0.00,13076819094.79,13063113992.31,5668086.11,13705102.48,12677288516.07,13076819094.79
020-0133,"Special Inspector General for the Troubled Asset Relief Program, Salaries and Expenses, Departmental Offices, Treasury",Department of the Treasury,Commerce and Housing Credit,Other advancement of commerce,26201010.70,-3493083.83,41160000.00,0.00,0.00,0.00,0.00,63867926.87,39755592.68,588667.40,24112334.19,40571354.52,63867926.87
096-5007,"Special Recreation Use Fees, Corps of Engineers, Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-8547,"Special Studies, Services and Projects, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,165587.53,0.00,0.00,0.00,0.00,0.00,0.00,165587.53,161389.46,0.00,4198.07,1607909.46,165587.53
012-3510,"Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service",Department of Agriculture,Income Security,Food and nutrition assistance,1005156223.61,738163049.89,5500931000.00,0.00,0.00,0.00,0.00,7244250273.50,6702726232.08,747478292.09,541524041.42,5698556258.70,7244250273.50
096-5607,"Special Use Permit Fees, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Recreational resources,264892.22,0.00,475372.82,0.00,0.00,0.00,0.00,740265.04,0.00,0.00,740265.04,0.00,740265.04
027-0300,"Spectrum Auction Program Account, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,2710520.22,29201.42,0.00,0.00,0.00,0.00,0.00,2739721.64,31550.30,29201.42,2708171.34,12830.70,2739721.64
011-5512,"Spectrum Relocation Fund, Executive Office of the President",,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,20453000.00,0.00,0.00,0.00,0.00,20453000.00,20453000.00,0.00,0.00,20453000.00,20453000.00
014-8151,"Sport Fish Restoration Account, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Recreational resources,188548389.40,35985784.74,435182864.10,0.00,0.00,0.00,0.00,659717038.24,468959043.38,35985784.74,190757994.86,445782902.84,659717038.24
070-8147,"Sport Fish Restoration and Boating Trust Fund, Homeland Security",Department of Homeland Security,Transportation,Water transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-0587,"Spring Mountain Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
089-0233,"SPR Petroleum Account, Energy Programs, Energy",Department of Energy,Energy,Emergency energy preparedness,14341303.54,0.00,0.00,0.00,0.00,0.00,0.00,14341303.54,673526.98,0.00,13667776.56,24619239.16,14341303.54
011-1022,State,,International Affairs,International development and humanitarian assistance,1163447295.69,98799795.11,1255659000.00,0.00,0.00,51896685.83,51896685.83,2569802776.63,1294363692.52,181429674.34,1275439084.11,1376872554.78,2569802776.63
069-0651,"State and Community Highway Safety, Liquidation of Contract Authorization, National Highway Traffic Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
013-0516,"State and Local Implementation Fund, National Telecommunications and Information Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,4837611.69,18548756.66,0.00,0.00,0.00,0.00,0.00,23386368.35,1968576.50,18548756.66,21417791.85,20270214.12,23386368.35
015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,55577940.89,55558609.74,1242463590.46,0.00,0.00,1098452.21,1098452.21,1354698593.30,1069124004.12,55558609.74,285574589.18,1150766068.63,1354698593.30
070-0560,"State and Local Programs, Federal Emergency Management Agency, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,141313294.85,41881.04,-11403309.00,0.00,0.00,-313317.46,-313317.46,129638549.43,55951002.10,49328309.89,73687547.33,1187938267.76,129638549.43
012-1105,"State and Private Forestry, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,106993205.61,13829633.92,163076000.00,0.00,0.00,57624942.09,57624942.09,341523781.62,267432654.92,17392663.48,74091126.70,255485328.60,341523781.62
012-5367,"State and Private Forestry, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,29707006.23,-10766174.55,50345000.00,0.00,0.00,0.00,0.00,69285831.68,62208873.41,5233825.45,7076958.27,43404384.24,69285831.68
068-0103,"State and Tribal Assistance Grants, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,187775107.25,63825755.30,3565963000.00,0.00,0.00,0.00,0.00,3817563862.55,3589194847.90,63825755.30,228369014.65,3453280001.66,3817563862.55
068-0102,"State and Tribal Assistance Grants - Recovery Act, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,23020305.11,-23020305.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189218.99,0.00,-48756.67,0.00
014-5474,"State and Tribal Wildlife Grants, U.S. Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,43060876.45,3784876.23,62571000.00,0.00,0.00,0.00,0.00,109416752.68,66837502.48,3784876.23,42579250.20,60776402.28,109416752.68
075-0515,"State Children's Health Insurance Fund, Centers for Medicare and Medicaid Services",Department of Health and Human Services,Health,Health care services,18386887577.91,3664587458.03,15025657589.87,0.00,0.00,0.00,0.00,37077132625.81,15965684168.00,8492097.91,21111448457.81,16223918081.51,37077132625.81
075-0516,"State Grants and Demonstration, Centers for Medicare and Medicaid Services",Department of Health and Human Services,Health,Health care services,1092876178.79,36354525.92,-681884336.00,0.00,0.00,0.00,0.00,447346368.71,114772990.85,36354525.92,332573377.86,503150592.44,447346368.71
069-0549,"State Infrastructure Banks, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,1375400.00,0.00,0.00,0.00,0.00,0.00,0.00,1375400.00,0.00,0.00,1375400.00,0.00,1375400.00
012-0170,"State Mediation Grants, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,700552.16,4098.29,3904000.00,0.00,0.00,0.00,0.00,4608650.45,3903999.92,113831.14,704650.53,3884806.58,4608650.45
075-5627,"State Response to the Opioid Abuse Crisis, CURES Act, Departmental Administration, Health and Human Services",Department of Health and Human Services,Health,Health care services,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
014-5561,"State Share, Carson City Land Sales, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,3.15,0.00,0.00,0.00,0.00,0.00,0.00,3.15,0.00,0.00,3.15,0.00,3.15
020-0142,"State Small Business Credit Initiative, Departmental Offices, Treasury",Department of the Treasury,Commerce and Housing Credit,Other advancement of commerce,14764731.79,3446543.18,0.00,0.00,0.00,0.00,0.00,18211274.97,11099840.74,3446543.18,7111434.23,28360753.76,18211274.97
014-5535,"State's Share from Certain Gulf of Mexico Leases, Office of Natural Resources Revenue, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,0.00,0.00,957032.29,0.00,0.00,0.00,0.00,957032.29,957032.29,0.00,0.00,957032.29,957032.29
028-5419,"State Supplemental Fees, Social Security Administration",Social Security Administration,Income Security,Other income security,0.00,0.00,122212686.51,0.00,0.00,0.00,0.00,122212686.51,122212686.51,0.00,0.00,122212686.51,122212686.51
016-0179,"State Unemployment Insurance and Employment Service Operations, Employment and Training Administration",,"Education, Training, Employment, and Social Services",Training and employment,193823190.91,21081567.13,85921000.00,0.00,0.00,3393591867.21,3393591867.21,3694417625.25,3520152002.50,21826357.62,174265622.75,3606930202.12,3694417625.25
014-5506,"Stewardship Contracting Product Sales, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,569149.30,15332.46,396091.62,0.00,0.00,0.00,0.00,980573.38,100730.52,15332.46,879842.86,78981.61,980573.38
012-5540,"Stewardship Contracting Product Sales, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,22475322.04,334934.94,14699168.84,0.00,0.00,0.00,0.00,37509425.82,12901560.07,334934.94,24607865.75,11549542.90,37509425.82
089-0218,"Strategic Petroleum Reserve, Energy Programs, Energy",Department of Energy,Energy,Emergency energy preparedness,5039340.26,471173.85,222604784.56,0.00,0.00,0.00,0.00,228115298.67,221250865.41,471173.85,6864433.26,199177817.39,228115298.67
091-0202,"Student AID Administration, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,71436687.54,-18117826.43,1574854000.00,0.00,0.00,269221.00,269221.00,1628442082.11,1585642117.66,17000621.99,42799964.45,1580116675.28,1628442082.11
070-5378,"Student and Exchange Visitor Program, Border and Transportation Security, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,155943493.95,4111802.83,131255171.33,0.00,0.00,0.00,0.00,291310468.11,164469941.00,4111802.83,126840527.11,162430187.80,291310468.11
091-0200,"Student Financial Assistance, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,8987860964.31,3792268002.53,29888610000.00,0.00,0.00,0.00,0.00,42668738966.84,33796974073.25,3880559311.59,8871764893.59,28575276251.95,42668738966.84
069-8045,"Study of Improvements to Highway 8 in Wisconsin, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
072-1014,"Sub-Saharan Africa, Development Assistance, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,12580771.21,27125.46,0.00,0.00,0.00,0.00,0.00,12607896.67,0.00,27125.46,12607896.67,3247.61,12607896.67
072-1040,"Sub-Saharan Africa Disaster Assistance, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,81817.60,0.00,0.00,0.00,0.00,0.00,0.00,81817.60,0.00,0.00,81817.60,0.00,81817.60
075-8513,"Substance Abuse and Mental Health Administration Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,289482.18,0.00,0.00,0.00,0.00,0.00,0.00,289482.18,0.00,0.00,289482.18,0.00,289482.18
075-1365,"Substance Abuse Prevention, Substance Abuse and Mental Health Administration, Health and Human Services",Department of Health and Human Services,Health,Health care services,3982803.55,3264632.85,221869000.00,0.00,0.00,95066004.18,95066004.18,324182440.58,322613752.55,18062932.03,1568688.03,291817396.32,324182440.58
075-1364,"Substance Abuse Treatment, Substance Abuse and Mental Health Administration, Health and Human Services",Department of Health and Human Services,Health,Health care services,23388191.86,-6952622.32,2627306000.00,0.00,0.00,84662862.58,84662862.58,2728404432.12,2713624708.70,38640852.97,14779723.42,2200826221.42,2728404432.12
